Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	29792	-	0	0	0	0	0	0	7	133	0	0	0	0	0	0	0	2	0	0	222	292	0	0	0	1	11	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1595	8	0	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1397	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2094	7	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	4	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-ICD11.json	5865	15	0	0	0	0	0	0	0	56	0	0	1	0	0	0	0	0	0	0	42	31632	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3278	8	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	36	191	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1049	4	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	168	0	0	0	0	0	0	0
